 num  ID                                      tier       chi2/pix  source_model
   1  KiDSDR4_J222209.601-335733.28           good          0.342  parametric
   2  KiDSDR4_J154823.583+015832.68           good          0.593  parametric
   3  KiDSDR4_J142541.213+002216.85           good          0.627  parametric
   4  KiDSDR4_J010257.486-291121.76           good          0.824  parametric
   5  KiDSDR4_J024858.753-274354.53           good          0.864  parametric
   6  KiDSDR4_J021932.170-332719.74           good          0.903  parametric
   7  KiDSDR4_J091113.492-000714.23           good          0.974  parametric
   8  KiDSDR4_J111433.617-020929.17           good          1.014  parametric
   9  KiDSDR4_J002105.099-283818.44           good          1.023  parametric
  10  KiDSDR4_J031950.805-295638.57           good          1.033  parametric
  11  KiDSDR4_J000439.793-280507.82           good          1.039  parametric
  12  KiDSDR4_J142528.079-011504.48           good          1.049  parametric
  13  KiDSDR4_J122335.140-021030.63           good          1.060  parametric
  14  KiDSDR4_J232039.461-281711.12           good          1.061  parametric
  15  KiDSDR4_J145325.778-003331.75           good          1.063  parametric
  16  KiDSDR4_J105741.640-004349.78           good          1.086  parametric
  17  KiDSDR4_J084722.029-013441.48           good          1.096  parametric
  18  KiDSDR4_J004558.739-331451.79           good          1.097  parametric
  19  KiDSDR4_J141908.441+002049.65           good          1.098  parametric
  20  KiDSDR4_J111328.589+020948.55           good          1.099  parametric
  21  KiDSDR4_J090507.336-001029.85           good          1.107  parametric
  22  KiDSDR4_J144723.506-001207.74           good          1.109  parametric
  23  KiDSDR4_J115015.646-015752.32           good          1.109  parametric
  24  KiDSDR4_J141649.819+013822.23           good          1.111  parametric
  25  KiDSDR4_J141503.117-003105.93           good          1.119  parametric
  26  KiDSDR4_J091903.838+003900.49           good          1.121  parametric
  27  KiDSDR4_J113741.606-020559.02           good          1.124  parametric
  28  KiDSDR4_J024228.926-294305.41           good          1.136  parametric
  29  KiDSDR4_J220606.000-351958.39           good          1.136  parametric
  30  KiDSDR4_J145434.187-003428.19           good          1.136  parametric
  31  KiDSDR4_J115252.263+004733.11           good          1.144  parametric
  32  KiDSDR4_J114444.815+001346.70           good          1.149  parametric
  33  KiDSDR4_J030540.105-293416.08           good          1.160  parametric
  34  KiDSDR4_J020505.970-331746.64           good          1.164  parametric
  35  KiDSDR4_J102729.477-013550.93           good          1.167  parametric
  36  KiDSDR4_J140929.697-011410.82           good          1.174  parametric
  37  KiDSDR4_J111121.008-023548.31           good          1.177  parametric
  38  KiDSDR4_J104119.501-000416.30           good          1.181  pixelized
  39  KiDSDR4_J000856.019-284610.08           good          1.186  parametric
  40  KiDSDR4_J002516.888-293016.99           good          1.188  parametric
  41  KiDSDR4_J230150.841-352631.68           good          1.206  parametric
  42  KiDSDR4_J001701.686-280827.57           good          1.206  parametric
  43  KiDSDR4_J000052.387-330330.92           good          1.209  parametric
  44  KiDSDR4_J234413.445-320057.62           good          1.217  parametric
  45  KiDSDR4_J112152.078+023711.11           good          1.225  parametric
  46  KiDSDR4_J010642.065-342401.02           good          1.229  parametric
  47  KiDSDR4_J024126.819-284229.76           good          1.234  parametric
  48  KiDSDR4_J233430.820-313928.28           good          1.237  parametric
  49  KiDSDR4_J230740.782-295058.93           good          1.241  parametric
  50  KiDSDR4_J232011.140-294158.79           good          1.242  parametric
  51  KiDSDR4_J031453.096-295233.96           good          1.254  parametric
  52  KiDSDR4_J144515.550+004133.42           good          1.255  parametric
  53  KiDSDR4_J031432.791-254408.76           good          1.263  parametric
  54  KiDSDR4_J232041.173-301353.02           good          1.268  parametric
  55  KiDSDR4_J142332.130-003115.73           good          1.268  parametric
  56  KiDSDR4_J021704.094-321155.44           good          1.271  parametric
  57  KiDSDR4_J031351.418-310215.66           good          1.274  parametric
  58  KiDSDR4_J142232.321+000134.55           good          1.276  parametric
  59  KiDSDR4_J150421.290+001700.13           good          1.284  parametric
  60  KiDSDR4_J124215.591+020801.00           good          1.289  parametric
  61  KiDSDR4_J015907.457-334415.29           good          1.309  pixelized
  62  KiDSDR4_J114654.718-021707.62           good          1.314  parametric
  63  KiDSDR4_J025334.181-284611.92           good          1.337  parametric
  64  KiDSDR4_J031554.060-264439.54           good          1.360  parametric
  65  KiDSDR4_J122450.300-004215.16           good          1.374  parametric
  66  KiDSDR4_J140733.603-014923.42           good          1.375  parametric
  67  KiDSDR4_J115637.743-000903.21           good          1.377  parametric
  68  KiDSDR4_J140031.880+024610.26           good          1.400  parametric
  69  KiDSDR4_J085247.537+001510.43           good          1.400  parametric
  70  KiDSDR4_J015116.013-290024.17           good          1.401  parametric
  71  KiDSDR4_J234719.642-333022.28           good          1.410  parametric
  72  KiDSDR4_J144950.700+005536.65           good          1.432  parametric
  73  KiDSDR4_J223747.073-281546.48           good          1.453  parametric
  74  KiDSDR4_J010606.232-310437.84           good          1.465  parametric
  75  KiDSDR4_J114815.363-010907.79           good          1.466  parametric
  76  KiDSDR4_J115008.624-010948.48           good          1.476  parametric
  77  KiDSDR4_J221647.408-292059.14           good          1.477  parametric
  78  KiDSDR4_J030511.509-311216.40           good          1.490  parametric
  79  KiDSDR4_J151041.479-011903.79           good          1.497  parametric
  80  KiDSDR4_J014518.788-290539.92           good          1.501  parametric
  81  KiDSDR4_J022816.291-292345.63           good          1.508  parametric
  82  KiDSDR4_J115537.691+020815.48           good          1.529  parametric
  83  KiDSDR4_J015059.897-290846.27           good          1.542  parametric
  84  KiDSDR4_J155300.545+001455.15           good          1.558  parametric
  85  KiDSDR4_J013425.700-295652.42           good          1.564  parametric
  86  KiDSDR4_J032523.797-324527.62           good          1.581  parametric
  87  KiDSDR4_J123421.817-000925.99           good          1.588  parametric
  88  KiDSDR4_J011153.430-314227.41           good          1.594  parametric
  89  KiDSDR4_J114054.983-010757.27           good          1.598  parametric
  90  KiDSDR4_J000517.478-352342.48           good          1.600  parametric
  91  KiDSDR4_J023315.143-290354.57           good          1.622  parametric
  92  KiDSDR4_J112900.041-014214.01           good          1.629  parametric
  93  KiDSDR4_J091940.081-011630.76           good          1.663  parametric
  94  KiDSDR4_J015928.393-330950.36           good          1.670  parametric
  95  KiDSDR4_J032621.242-345409.66           good          1.675  parametric
  96  KiDSDR4_J135435.336-003719.64           good          1.725  parametric
  97  KiDSDR4_J224144.452-282152.16           good          1.725  parametric
  98  KiDSDR4_J091321.371+025802.38           good          1.731  parametric
  99  KiDSDR4_J224546.032-295559.03           good          1.760  parametric
 100  KiDSDR4_J113146.090+002212.70           good          1.789  parametric
 101  KiDSDR4_J033605.770-331220.58           good          1.798  parametric
 102  KiDSDR4_J025746.733-353418.53           good          1.806  parametric
 103  KiDSDR4_J010127.840-334319.40           good          1.808  parametric
 104  KiDSDR4_J223409.199-285423.36           good          1.820  parametric
 105  KiDSDR4_J004439.128-291957.30           good          1.824  parametric
 106  KiDSDR4_J235629.267-314515.77           good          1.842  parametric
 107  KiDSDR4_J221400.330-292031.21           good          1.844  parametric
 108  KiDSDR4_J220412.512-350654.12           good          1.875  parametric
 109  KiDSDR4_J023300.432-330820.16           good          1.875  parametric
 110  KiDSDR4_J023714.701-280719.03           good          1.875  parametric
 111  KiDSDR4_J134455.641-002015.60           good          1.893  parametric
 112  KiDSDR4_J005404.848-305809.32           good          1.897  parametric
 113  KiDSDR4_J083933.372-014044.81           good          1.900  parametric
 114  KiDSDR4_J122443.450-002811.36           good          1.908  parametric
 115  KiDSDR4_J000239.985-294635.77           good          1.909  parametric
 116  KiDSDR4_J091523.562-005521.33           good          1.910  parametric
 117  KiDSDR4_J032100.783-281810.47           good          1.917  parametric
 118  KiDSDR4_J131529.230+013223.65           good          1.922  parametric
 119  KiDSDR4_J001941.102-332229.42           good          1.951  parametric
 120  KiDSDR4_J004204.610-323222.56           good          1.968  parametric
 121  KiDSDR4_J141325.378+010907.83           good          1.972  parametric
 122  KiDSDR4_J085156.962+013016.65           decent        2.030  parametric
 123  KiDSDR4_J013823.201-284408.09           decent        2.054  parametric
 124  KiDSDR4_J025825.003-264515.50           decent        2.056  parametric
 125  KiDSDR4_J123752.030+000846.84           decent        2.066  parametric
 126  KiDSDR4_J234450.820-314201.44           decent        2.070  parametric
