 num   chi2/pix  ID
   1       1.90  KiDSDR4_J000012.031-310943.35
   2       1.27  KiDSDR4_J000052.387-330330.92
   3       2.83  KiDSDR4_J000110.222-351533.95
   4       2.47  KiDSDR4_J000239.985-294635.77
   5       1.56  KiDSDR4_J000439.793-280507.82
   6       1.02  KiDSDR4_J000517.478-352342.48
   7      13.98  KiDSDR4_J000820.374-342718.99
   8       2.91  KiDSDR4_J000837.779-330700.01
   9       2.65  KiDSDR4_J000856.019-284610.08
  10       4.86  KiDSDR4_J001625.370-313425.35
  11       2.26  KiDSDR4_J001659.713-293119.84
  12       1.10  KiDSDR4_J001701.686-280827.57
  13       3.55  KiDSDR4_J001810.363-285609.54
  14       1.64  KiDSDR4_J001941.102-332229.42
  15       1.44  KiDSDR4_J002105.099-283818.44
  16       1.40  KiDSDR4_J002516.888-293016.99
  17       3.75  KiDSDR4_J003151.142-312638.83
  18       2.51  KiDSDR4_J004204.610-323222.56
  19       2.16  KiDSDR4_J004439.128-291957.30
  20       1.15  KiDSDR4_J004558.739-331451.79
  21       1.80  KiDSDR4_J005404.848-305809.32
  22       1.48  KiDSDR4_J010127.840-334319.40
  23       1.07  KiDSDR4_J010257.486-291121.76
  24       1.69  KiDSDR4_J010606.232-310437.84
  25       1.38  KiDSDR4_J010642.065-342401.02
  26       3.62  KiDSDR4_J010704.918-312841.03
  27       3.40  KiDSDR4_J011045.486-290822.53
  28       1.45  KiDSDR4_J011153.430-314227.41
  29       3.63  KiDSDR4_J011731.429-314432.70
  30       3.31  KiDSDR4_J013403.712-303226.82
  31       1.48  KiDSDR4_J013425.700-295652.42
  32       2.86  KiDSDR4_J013538.811-291531.46
  33       2.00  KiDSDR4_J013823.201-284408.09
  34       4.91  KiDSDR4_J014518.788-290539.92
  35       1.91  KiDSDR4_J015059.897-290846.27
  36       1.81  KiDSDR4_J015116.013-290024.17
  37       2.52  KiDSDR4_J015907.457-334415.29
  38       1.55  KiDSDR4_J015928.393-330950.36
  39       1.45  KiDSDR4_J020505.970-331746.64
  40       1.67  KiDSDR4_J021110.350-302848.25
  41       4.28  KiDSDR4_J021504.013-284248.57
  42       3.07  KiDSDR4_J021555.605-342425.72
  43       2.31  KiDSDR4_J021704.094-321155.44
  44       6.45  KiDSDR4_J021908.779-333119.81
  45       1.31  KiDSDR4_J021932.170-332719.74
