KiDS_ID,RA,DEC,Grade,Method,Recovered_known
J010127.840-334319.40,15.366003,-33.722057,A,AL,False
J013425.700-295652.42,23.607086,-29.947897,A,AL+NN,True
J030639.688-273626.93,46.66537,-27.607481,A,AL+NN,True
J084520.257-005459.56,131.334408,-0.916547,A,NN,True
J122442.115-003959.04,186.175481,-0.666401,A,NN,False
J133844.788-010904.82,204.686617,-1.151341,A,NN,True
J224546.032-295559.03,341.441801,-29.933066,A,AL,True
J231645.663-292343.20,349.190266,-29.395334,A,AL,True
J000017.928-353229.26,0.074701,-35.541463,B,NN,False
J000052.387-330330.92,0.218283,-33.058589,B,AL+NN,False
J000110.222-351533.95,0.292592,-35.259432,B,AL+NN,False
J000239.985-294635.77,0.666608,-29.776603,B,AL+NN,False
J000439.793-280507.82,1.165807,-28.085506,B,NN,False
J000837.779-330700.01,2.157415,-33.116671,B,AL+NN,False
J000856.019-284610.08,2.233416,-28.769469,B,NN,False
J001625.370-313425.35,4.105712,-31.573711,B,AL,False
J001659.713-293119.84,4.248807,-29.522179,B,AL+NN,False
J001701.686-280827.57,4.257027,-28.140993,B,NN,False
J001810.363-285609.54,4.54318,-28.935984,B,AL,True
J001941.102-332229.42,4.921261,-33.374841,B,NN,False
J002105.099-283818.44,5.271248,-28.638458,B,NN,True
J002516.888-293016.99,6.320367,-29.50472,B,NN,False
J004204.610-323222.56,10.519212,-32.539602,B,NN,True
J005404.848-305809.32,13.520202,-30.969256,B,NN,False
J010642.065-342401.02,16.675274,-34.400284,B,AL+NN,True
J011153.430-314227.41,17.972626,-31.707614,B,NN,False
J013538.811-291531.46,23.911716,-29.258741,B,NN,False
J013823.201-284408.09,24.596671,-28.735581,B,NN,False
J015059.897-290846.27,27.749573,-29.146188,B,AL+NN,False
J015116.013-290024.17,27.816722,-29.006714,B,NN,False
J015907.457-334415.29,29.781074,-33.737582,B,NN,False
J020505.970-331746.64,31.274878,-33.29629,B,NN,True
J021110.350-302848.25,32.793128,-30.48007,B,AL+NN,False
J021704.094-321155.44,34.267061,-32.198735,B,NN,False
J021908.779-333119.81,34.78658,-33.52217,B,NN,False
J021932.170-332719.74,34.884042,-33.455484,B,NN,False
J022816.291-292345.63,37.06788,-29.39601,B,NN,False
J023300.432-330820.16,38.251804,-33.138936,B,NN,False
J023315.143-290354.57,38.3131,-29.065159,B,NN,False
J024126.819-284229.76,40.361747,-28.708269,B,NN,False
J024858.753-274354.53,42.244807,-27.731814,B,NN,False
J025334.181-284611.92,43.392423,-28.769978,B,NN,True
J025746.733-353418.53,44.444724,-35.571814,B,NN,False
J025825.003-264515.50,44.604181,-26.754307,B,NN,False
J030016.828-321249.98,45.070119,-32.213884,B,NN,False
J030247.990-303627.51,45.699962,-30.607643,B,NN,False
J030511.509-311216.40,46.297955,-31.204558,B,NN,False
J031351.418-310215.66,48.464245,-31.037684,B,NN,False
J031432.791-254408.76,48.636633,-25.735768,B,AL+NN,False
J031453.096-295233.96,48.721236,-29.876102,B,NN,False
J031554.060-264439.54,48.975251,-26.744317,B,NN,False
J031950.805-295638.57,49.961688,-29.944049,B,NN,False
J032100.783-281810.47,50.253265,-28.30291,B,AL+NN,False
J032219.773-342456.27,50.582391,-34.415633,B,NN,True
J032230.223-344711.77,50.625931,-34.786604,B,NN,True
J032402.732-274857.72,51.011386,-27.816035,B,NN,False
J032523.797-324527.62,51.349158,-32.757674,B,NN,False
J032621.242-345409.66,51.588511,-34.902684,B,NN,False
J033333.196-302441.95,53.388317,-30.411653,B,NN,False
J033605.770-331220.58,54.024045,-33.205718,B,NN,False
J083726.163+015639.25,129.359015,1.944238,B,AL+NN,True
J083734.985+024523.73,129.395775,2.756593,B,NN,False
J083933.372-014044.81,129.889052,-1.679115,B,NN,True
J085247.537+001510.43,133.198073,0.252898,B,NN,False
J090150.268-012118.51,135.459453,-1.355144,B,NN,False
J091321.371+025802.38,138.33905,2.967328,B,NN,False
J091523.562-005521.33,138.848177,-0.922594,B,AL,False
J091903.838+003900.49,139.765994,0.650137,B,NN,False
J091940.081-011630.76,139.917008,-1.275213,B,NN,True
J102729.477-013550.93,156.872823,-1.597482,B,NN,False
J105741.640-004349.78,164.423502,-0.730497,B,NN,False
J110051.121-005251.89,165.213006,-0.881083,B,NN,False
J111121.008-023548.31,167.837535,-2.596755,B,AL+NN,False
J111328.589+020948.55,168.369121,2.163488,B,AL,False
J111433.617-020929.17,168.640074,-2.158104,B,NN,False
J111555.997-025204.81,168.983322,-2.868003,B,NN,True
J113146.090+002212.70,172.942044,0.370195,B,AL,False
J114054.983-010757.27,175.229099,-1.132575,B,NN,False
J114444.815+001346.70,176.18673,0.22964,B,NN,True
J115015.646-015752.32,177.565192,-1.964534,B,NN,True
J115537.691+020815.48,178.907048,2.137635,B,NN,False
J121312.570+011853.41,183.302377,1.314837,B,NN,False
J122443.450-002811.36,186.181042,-0.469824,B,NN,False
J122450.300-004215.16,186.209584,-0.704212,B,NN,True
J123421.817-000925.99,188.590905,-0.15722,B,NN,True
J123752.030+000846.84,189.466793,0.146346,B,AL,False
J124215.591+020801.00,190.564966,2.133613,B,NN,False
J131529.230+013223.65,198.871792,1.539903,B,NN,True
J133708.148-000633.50,204.283952,-0.109308,B,AL+NN,False
J135435.336-003719.64,208.647235,-0.622124,B,NN,False
J140031.880+024610.26,210.132836,2.769518,B,NN,False
J140733.603-014923.42,211.890016,-1.823174,B,NN,True
J141136.980+015357.13,212.904087,1.899205,B,AL+NN,False
J141325.378+010907.83,213.355743,1.152177,B,NN,False
J141503.117-003105.93,213.762991,-0.518314,B,NN,True
J141649.819+013822.23,214.207581,1.63951,B,NN,True
J141741.465+021705.13,214.422773,2.28476,B,NN,False
J141908.441+002049.65,214.785171,0.347127,B,NN,False
J142232.321+000134.55,215.634671,0.026264,B,NN,False
J142404.740-023019.89,216.019754,-2.505526,B,AL+NN,False
J143001.826-015045.16,217.507611,-1.84588,B,AL+NN,False
J144503.938-032042.35,221.266411,-3.345099,B,NN,False
J144950.700+005536.65,222.461254,0.92685,B,NN,True
J145325.778-003331.75,223.357411,-0.558822,B,AL+NN,True
J145434.187-003428.19,223.642446,-0.574499,B,NN,False
J150126.605-012501.29,225.360856,-1.417026,B,NN,False
J150421.290+001700.13,226.088711,0.283371,B,AL,False
J151037.311+024908.62,227.655466,2.819062,B,NN,False
J151041.479-011903.79,227.672833,-1.31772,B,NN,False
J151059.207+021938.68,227.746696,2.327413,B,NN,False
J152408.309-014343.35,231.034621,-1.728709,B,NN,False
J152801.078+004030.62,232.004492,0.675174,B,NN,True
J153136.971+002750.99,232.904048,0.464164,B,NN,False
J154823.583+015832.68,237.098266,1.975745,B,NN,False
J155300.545+001455.15,238.252274,0.248655,B,NN,False
J220412.512-350654.12,331.052135,-35.115035,B,NN,False
J220606.000-351958.39,331.525002,-35.332887,B,NN,False
J221016.394-344006.27,332.56831,-34.668411,B,NN,False
J221322.958-285447.91,333.34566,-28.91331,B,AL+NN,False
J221400.330-292031.21,333.501378,-29.342005,B,NN,True
J221647.408-292059.14,334.197537,-29.349763,B,NN,False
J222209.601-335733.28,335.540008,-33.959247,B,NN,False
J222243.178-340745.35,335.679909,-34.129265,B,NN,False
J223409.199-285423.36,338.53833,-28.90649,B,NN,False
J223747.073-281546.48,339.446139,-28.262912,B,NN,False
J224144.452-282152.16,340.43522,-28.364489,B,AL,False
J230024.723-351233.67,345.103013,-35.209355,B,NN,True
J230150.841-352631.68,345.461839,-35.442134,B,NN,False
J230740.782-295058.93,346.919926,-29.849703,B,NN,True
J231606.127-322814.63,349.025533,-32.470731,B,NN,False
J232011.140-294158.79,350.046417,-29.699664,B,NN,True
J232039.461-281711.12,350.164421,-28.286423,B,NN,True
J233323.587-322807.40,353.348281,-32.468724,B,AL,False
J233430.820-313928.28,353.628417,-31.657858,B,NN,False
J234413.445-320057.62,356.056021,-32.016007,B,AL+NN,False
J234450.820-314201.44,356.211752,-31.700402,B,AL+NN,False
J234843.274-304922.09,357.180312,-30.822803,B,NN,False
J235440.569-303219.81,358.669039,-30.538838,B,NN,False
J235629.267-314515.77,359.121947,-31.754382,B,NN,False
J235920.054-281535.45,359.83356,-28.259849,B,NN,False
J000225.597-314232.99,0.606656,-31.709166,C,NN,False
J000310.151-315244.94,0.792296,-31.879152,C,AL+NN,False
J000315.938-345436.17,0.816411,-34.910048,C,NN,False
J000324.583-334529.85,0.852433,-33.758293,C,NN,False
J000340.597-315901.33,0.919158,-31.983704,C,NN,False
J000351.615-323139.88,0.965063,-32.527745,C,AL,False
J000358.589-301359.15,0.994124,-30.233098,C,NN,False
J000408.250-310242.91,1.034378,-31.045253,C,NN,False
J000438.089-352257.32,1.158705,-35.38259,C,NN,False
J000503.899-285952.26,1.266247,-28.997852,C,NN,False
J000550.724-353251.30,1.461354,-35.547586,C,NN,False
J000655.160-311243.70,1.729836,-31.21214,C,NN,False
J000710.475-333017.57,1.793646,-33.504883,C,NN,False
J000719.198-332952.01,1.829995,-33.497782,C,NN,False
J000758.322-341147.29,1.993011,-34.19647,C,NN,False
J000903.800-304121.53,2.265836,-30.689316,C,NN,False
J000910.612-300949.89,2.29422,-30.163861,C,NN,False
J000912.891-300808.68,2.303714,-30.135747,C,NN,False
J000918.471-325904.71,2.326963,-32.984644,C,NN,False
J000946.842-324707.86,2.445176,-32.785519,C,AL+NN,False
J001014.293-325419.97,2.559558,-32.90555,C,NN,False
J001030.201-330838.03,2.625838,-33.143899,C,AL+NN,False
J001040.121-293855.97,2.667173,-29.648883,C,NN,False
J001040.458-325153.80,2.668575,-32.864947,C,NN,False
J001050.434-291010.75,2.710143,-29.169654,C,AL+NN,False
J001142.613-330506.45,2.927555,-33.085127,C,NN,False
J001258.302-312932.05,3.242926,-31.492238,C,NN,False
J001303.270-315005.52,3.263627,-31.834868,C,NN,False
J001429.825-302210.21,3.624275,-30.369503,C,AL,False
J001545.465-344532.34,3.93944,-34.758985,C,NN,False
J001629.506-295149.47,4.122944,-29.863743,C,NN,False
J001701.628-280828.92,4.256785,-28.141368,C,NN,False
J001704.120-274817.79,4.267168,-27.804942,C,NN,False
J001715.159-335107.75,4.313164,-33.852155,C,NN,False
J001729.478-301537.71,4.372826,-30.260476,C,NN,False
J001820.523-313025.28,4.585515,-31.507024,C,NN,False
J001821.057-291434.55,4.58774,-29.242933,C,NN,False
J001839.123-284348.25,4.663014,-28.730072,C,AL+NN,False
J001923.729-331337.32,4.848873,-33.227036,C,NN,False
J001948.460-342929.01,4.951918,-34.491393,C,NN,False
J002033.830-303723.74,5.140959,-30.623263,C,NN,False
J002034.141-280748.35,5.142258,-28.1301,C,NN,False
J002038.546-294233.63,5.16061,-29.709342,C,NN,False
J002109.030-340245.60,5.287625,-34.046002,C,AL+NN,False
J002125.079-340141.55,5.354496,-34.028211,C,NN,False
J002140.750-342715.04,5.419792,-34.454179,C,NN,False
J002140.870-274501.64,5.420292,-27.750457,C,AL+NN,False
J002243.043-321626.24,5.679349,-32.273958,C,AL,False
J002247.948-323334.70,5.699784,-32.559641,C,AL+NN,False
J002335.931-314720.92,5.899715,-31.789145,C,NN,False
J002356.374-285514.21,5.984893,-28.920614,C,NN,False
J002416.020-290451.97,6.066754,-29.081105,C,NN,False
J002438.672-284923.86,6.161135,-28.823295,C,NN,False
J002547.559-320943.15,6.448165,-32.161988,C,NN,False
J002821.763-292606.56,7.090681,-29.435157,C,NN,False
J002838.702-290721.40,7.161262,-29.122612,C,NN,False
J003038.199-281336.85,7.659165,-28.226905,C,NN,False
J003049.306-313245.93,7.705444,-31.546094,C,AL,False
J003050.636-340617.98,7.710985,-34.104997,C,NN,False
J003054.460-305402.16,7.726918,-30.900602,C,NN,False
J003303.669-281119.20,8.26529,-28.188667,C,NN,False
J003306.407-342016.22,8.276699,-34.337841,C,NN,False
J003425.329-331549.94,8.605541,-33.263874,C,NN,False
J003610.779-333114.93,9.044914,-33.520815,C,NN,False
J003643.117-314413.00,9.179657,-31.736946,C,NN,False
J003922.711-305417.45,9.844633,-30.904849,C,NN,False
J004317.781-324056.85,10.82409,-32.682459,C,NN,False
J004342.991-311559.51,10.929131,-31.266533,C,NN,False
J004543.916-305401.77,11.432986,-30.900494,C,NN,False
J004552.645-305736.94,11.469356,-30.960263,C,NN,False
J004602.955-324435.88,11.512314,-32.743302,C,NN,False
J004639.531-312800.26,11.664716,-31.46674,C,NN,False
J004858.473-301540.03,12.243639,-30.261121,C,NN,False
J004943.661-304353.72,12.431924,-30.731589,C,NN,False
J005101.744-302929.01,12.757269,-30.491392,C,AL+NN,False
J005111.197-283839.86,12.796656,-28.644406,C,AL,False
J005149.867-341356.24,12.95778,-34.232291,C,AL,False
J005153.728-281853.12,12.973869,-28.314758,C,NN,False
J005156.516-325611.27,12.985486,-32.936465,C,NN,False
J005203.422-315657.46,13.014262,-31.949295,C,NN,False
J005226.980-341038.61,13.112417,-34.177392,C,NN,False
J005244.375-304421.44,13.184897,-30.739289,C,NN,False
J005321.800-300509.32,13.340837,-30.085925,C,NN,False
J005358.049-292304.38,13.491873,-29.384552,C,NN,False
J005400.674-314548.95,13.502809,-31.763599,C,AL+NN,False
J005415.082-274958.40,13.562844,-27.832891,C,NN,False
J005432.780-314903.93,13.636585,-31.81776,C,NN,False
J005434.090-300302.01,13.642045,-30.050559,C,AL,False
J005501.717-290502.71,13.757155,-29.084087,C,NN,False
J005507.243-315659.54,13.780181,-31.949874,C,NN,False
J005507.987-303755.68,13.783282,-30.632135,C,NN,False
J005530.430-281640.60,13.876792,-28.277946,C,NN,False
J005542.500-343233.14,13.927086,-34.54254,C,NN,False
J005542.896-302159.11,13.928734,-30.366422,C,NN,False
J005606.233-281245.75,14.025973,-28.212711,C,NN,False
J005614.988-320418.22,14.062451,-32.071729,C,NN,False
J005619.145-295149.19,14.079774,-29.863664,C,AL+NN,False
J005622.787-292846.18,14.094947,-29.479496,C,NN,False
J005626.448-304057.57,14.110204,-30.682659,C,NN,False
J005641.822-322133.35,14.17426,-32.359266,C,NN,False
J005738.544-295827.02,14.410604,-29.974175,C,AL+NN,False
J005747.064-313424.62,14.446104,-31.573508,C,NN,False
J005823.962-304946.70,14.599844,-30.829639,C,NN,False
J005835.768-325801.26,14.649037,-32.967017,C,NN,False
J005955.541-293147.72,14.981421,-29.529923,C,NN,False
J010039.577-300811.86,15.164905,-30.136629,C,NN,False
J010107.914-293632.83,15.282979,-29.60912,C,NN,False
J010227.770-335838.99,15.615712,-33.9775,C,NN,False
J010300.216-314810.53,15.750902,-31.802926,C,NN,False
J010307.139-333132.11,15.779749,-33.525587,C,NN,False
J010340.097-343538.83,15.917074,-34.59412,C,NN,False
J010341.155-312022.18,15.921481,-31.339497,C,NN,False
J010348.133-332733.39,15.950557,-33.459277,C,AL+NN,False
J010604.044-321849.42,16.516852,-32.31373,C,NN,False
J010752.533-274713.19,16.968888,-27.786998,C,NN,False
J010848.734-291823.74,17.20306,-29.306597,C,NN,False
J011116.932-340909.01,17.82055,-34.152503,C,AL,False
J011151.663-342141.67,17.965265,-34.361576,C,AL,False
J011229.120-324614.44,18.121335,-32.770678,C,NN,False
J011241.017-330820.32,18.170906,-33.138979,C,AL+NN,False
J011521.945-305039.32,18.841441,-30.844258,C,NN,False
J011541.120-291254.99,18.921336,-29.215276,C,NN,False
J011646.104-334608.11,19.192103,-33.768922,C,NN,False
J011814.281-275645.41,19.559507,-27.94595,C,NN,False
J011826.085-320307.72,19.608689,-32.052147,C,AL+NN,False
J011834.220-293127.61,19.642584,-29.524337,C,NN,False
J011841.628-301557.28,19.673454,-30.265913,C,NN,False
J011925.948-335658.12,19.858118,-33.94948,C,NN,False
J011943.722-332727.80,19.932178,-33.457723,C,NN,False
J012051.614-295154.28,20.215059,-29.865078,C,NN,False
J012139.195-294636.55,20.413316,-29.776821,C,AL,False
J012144.492-325903.21,20.435385,-32.984226,C,AL+NN,False
J012151.938-322607.80,20.466409,-32.435502,C,AL+NN,False
J012257.540-295649.32,20.739751,-29.947034,C,NN,False
J012448.299-342643.11,21.201249,-34.44531,C,NN,False
J012609.507-313047.47,21.539616,-31.513187,C,NN,False
J012653.994-274444.88,21.724979,-27.745802,C,NN,False
J012731.774-293518.53,21.882392,-29.588483,C,NN,False
J012821.929-293625.18,22.091374,-29.606997,C,NN,False
J012900.006-282047.73,22.250029,-28.346593,C,NN,False
J013351.772-334816.27,23.465717,-33.804521,C,NN,False
J013619.249-335932.03,24.080206,-33.992231,C,NN,False
J013638.914-323414.60,24.162145,-32.570724,C,NN,False
J013714.476-334519.14,24.310317,-33.755319,C,NN,False
J013741.355-313208.16,24.422313,-31.535601,C,NN,False
J013803.263-293823.53,24.513597,-29.639871,C,NN,False
J014245.139-335901.40,25.688083,-33.983723,C,NN,False
J014435.210-295228.87,26.146709,-29.874687,C,NN,False
J014535.340-292015.80,26.397251,-29.337723,C,NN,False
J014834.589-285232.28,27.144122,-28.875636,C,NN,False
J015010.885-292632.28,27.545355,-29.442302,C,NN,False
J015114.197-285915.19,27.809155,-28.987555,C,NN,False
J015332.783-295532.06,28.386598,-29.925574,C,NN,False
J015438.986-294811.12,28.662442,-29.803091,C,AL,False
J015642.325-334006.37,29.176357,-33.668438,C,NN,False
J015728.588-321327.22,29.369117,-32.224229,C,NN,False
J015744.981-321925.62,29.437421,-32.323786,C,NN,False
J015745.067-331241.65,29.437782,-33.21157,C,NN,False
J015807.892-294345.03,29.532885,-29.729177,C,AL+NN,False
J015827.460-293558.40,29.61442,-29.599557,C,NN,False
J015835.478-321148.45,29.647829,-32.196793,C,NN,False
J020003.740-302015.82,30.015585,-30.337729,C,NN,False
J020011.264-293951.33,30.046935,-29.664259,C,NN,False
J020021.185-320014.23,30.088273,-32.003955,C,NN,False
J020141.604-315358.46,30.423352,-31.899573,C,NN,False
J020155.221-321031.27,30.48009,-32.175355,C,NN,False
J020303.531-340310.17,30.764713,-34.052827,C,NN,False
J020306.184-321228.72,30.775767,-32.20798,C,NN,False
J020437.535-342237.94,31.156397,-34.377207,C,NN,False
J020459.979-311722.62,31.249913,-31.289617,C,NN,False
J020601.872-284457.18,31.507801,-28.749218,C,NN,False
J020612.752-343236.07,31.553134,-34.543353,C,NN,False
J020747.645-324648.43,31.948523,-32.78012,C,NN,False
J020843.612-334422.76,32.181718,-33.739658,C,NN,False
J020910.791-342956.15,32.294964,-34.498932,C,AL+NN,False
J020935.274-321222.75,32.396979,-32.206321,C,AL,False
J021000.087-315844.04,32.500363,-31.978902,C,NN,False
J021125.582-314141.13,32.856593,-31.694759,C,NN,False
J021222.038-320244.60,33.091828,-32.045725,C,NN,False
J021231.248-301639.57,33.130202,-30.27766,C,NN,False
J021256.731-331447.93,33.236381,-33.246649,C,AL+NN,False
J021304.288-310359.33,33.26787,-31.066481,C,NN,False
J021330.870-322645.61,33.378628,-32.446004,C,AL+NN,False
J021345.491-323801.98,33.439546,-32.633885,C,NN,False
J021418.259-322843.43,33.576081,-32.478731,C,NN,False
J021420.324-343416.43,33.584687,-34.571232,C,NN,False
J021439.139-310658.50,33.663081,-31.116251,C,NN,False
J021624.972-332404.57,34.104054,-33.401271,C,NN,False
J021633.812-294702.14,34.140884,-29.783928,C,NN,False
J021635.449-340426.87,34.147705,-34.074131,C,NN,False
J021642.979-340102.54,34.179082,-34.017374,C,NN,False
J021805.881-303910.34,34.524507,-30.652873,C,NN,False
J021826.991-313639.87,34.612464,-31.611077,C,NN,False
J021842.566-330531.04,34.677359,-33.091957,C,NN,False
J021848.869-290526.41,34.703622,-29.090672,C,AL+NN,False
J021933.984-315948.35,34.891604,-31.996764,C,NN,False
J021951.603-332415.71,34.965013,-33.404366,C,NN,False
J021951.692-332413.67,34.965387,-33.4038,C,NN,False
J022035.281-343042.63,35.147008,-34.511844,C,NN,False
J022113.301-312744.01,35.305422,-31.462227,C,NN,False
J022245.086-315812.34,35.687861,-31.970095,C,NN,False
J022510.949-312156.50,36.295621,-31.365696,C,NN,False
J022531.648-303609.43,36.38187,-30.602621,C,NN,False
J022600.896-301946.10,36.503737,-30.329474,C,NN,False
J022702.224-274850.95,36.759267,-27.814155,C,NN,False
J022803.649-323546.55,37.015205,-32.596264,C,NN,False
J022828.876-293614.96,37.12032,-29.604157,C,NN,False
J022833.096-343107.98,37.137901,-34.518884,C,NN,False
J022843.948-315903.19,37.18312,-31.984221,C,NN,False
J022856.152-343151.54,37.23397,-34.530986,C,NN,False
J022859.082-290954.88,37.246178,-29.165247,C,NN,False
J022911.586-304850.81,37.298278,-30.814116,C,NN,False
J022929.911-314236.37,37.37463,-31.710105,C,NN,False
J022936.690-323505.69,37.402875,-32.584914,C,NN,False
J023020.464-335305.15,37.585268,-33.884764,C,NN,False
J023022.962-290256.56,37.595677,-29.049045,C,NN,False
J023051.805-293339.03,37.715855,-29.560842,C,NN,False
J023246.400-320456.06,38.193335,-32.08224,C,NN,False
J023301.725-302948.40,38.257188,-30.496779,C,NN,False
J023353.826-312527.12,38.474278,-31.424201,C,NN,False
J023503.576-330906.13,38.764902,-33.151703,C,NN,False
J023513.662-322303.21,38.806927,-32.384226,C,NN,False
J023539.205-303629.41,38.913357,-30.608171,C,NN,False
J023540.176-292044.72,38.917404,-29.345757,C,NN,False
J023716.942-310928.56,39.320593,-31.157935,C,NN,False
J023736.904-323917.07,39.40377,-32.654744,C,NN,False
J023752.685-323755.47,39.469524,-32.632077,C,NN,False
J023755.571-291012.13,39.481549,-29.170038,C,NN,False
J023807.084-320118.59,39.529519,-32.021833,C,NN,False
J023814.238-281508.41,39.559326,-28.252337,C,NN,False
J023917.670-331403.61,39.823629,-33.234338,C,NN,False
J024011.010-332205.19,40.045875,-33.368109,C,NN,False
