ID,Grade,origin_upd,RA,DEC
KiDSDR4 J010606.232-310437.84,A,LINKS,16.525969,-31.07718
KiDSDR4 J010704.918-312841.03,A,LINKS,16.770493,-31.478064
KiDSDR4 J013425.700-295652.42,A,"LINKS,AL",23.607086,-29.947897
KiDSDR4 J021504.013-284248.57,A,LINKS,33.766723,-28.713492
KiDSDR4 J030639.688-273626.93,A,"LINKS,AL",46.66537,-27.607481
KiDSDR4 J091113.492-000714.23,A,LINKS,137.80622,-0.12062
KiDSDR4 J111253.976+001044.65,A,LINKS,168.224904,0.179072
KiDSDR4 J115252.263+004733.11,A,"LINKS,TEGLIE_1",178.217764,0.792533
KiDSDR4 J134032.074-003737.83,A,LINKS,205.133643,-0.627175
KiDSDR4 J140929.697-011410.82,A,TEGLIE_1,212.373741,-1.236339
KiDSDR4 J224546.032-295559.03,A,"TEGLIE_2,AL",341.441801,-29.933066
KiDSDR4 J230226.294-335637.56,A,TEGLIE_1,345.609561,-33.943769
KiDSDR4 J231645.663-292343.20,A,"LINKS,AL",349.190266,-29.395334
KiDSDR4 J233533.673-322722.06,A,LINKS,353.890307,-32.456128
KiDSDR4 J235728.351-352013.03,A,LINKS,359.368133,-35.336955
KiDSDR4 J000012.031-310943.35,B,LINKS,0.050133,-31.162044
KiDSDR4 J000014.372-281135.77,B,TEGLIE_1,0.059887,-28.193272
KiDSDR4 J000517.478-352342.48,B,LINKS,1.322827,-35.395134
KiDSDR4 J000820.374-342718.99,B,LINKS,2.084894,-34.455275
KiDSDR4 J001810.363-285609.54,B,"LINKS,AL",4.54318,-28.935984
KiDSDR4 J002105.099-283818.44,B,LINKS,5.271248,-28.638458
KiDSDR4 J003151.142-312638.83,B,LINKS,7.963094,-31.44412
KiDSDR4 J004439.128-291957.30,B,LINKS,11.163036,-29.332586
KiDSDR4 J004558.739-331451.79,B,LINKS,11.494746,-33.24772
KiDSDR4 J010257.486-291121.76,B,LINKS,15.739527,-29.189379
KiDSDR4 J010642.065-342401.02,B,"LINKS,AL",16.675274,-34.400284
KiDSDR4 J011045.486-290822.53,B,LINKS,17.689526,-29.139593
KiDSDR4 J011731.429-314432.70,B,LINKS,19.380956,-31.742419
KiDSDR4 J012647.465-284815.00,B,LINKS,21.697774,-28.804168
KiDSDR4 J013403.712-303226.82,B,LINKS,23.515468,-30.540786
KiDSDR4 J014518.788-290539.92,B,LINKS,26.328284,-29.094423
KiDSDR4 J015928.393-330950.36,B,LINKS,29.868305,-33.16399
KiDSDR4 J020505.970-331746.64,B,LINKS,31.274878,-33.29629
KiDSDR4 J021555.605-342425.72,B,LINKS,33.98169,-34.407147
KiDSDR4 J022956.259-311022.65,B,LINKS,37.484416,-31.172959
KiDSDR4 J023714.701-280719.03,B,LINKS,39.311257,-28.121953
KiDSDR4 J024228.926-294305.41,B,LINKS,40.620528,-29.718171
KiDSDR4 J025334.181-284611.92,B,LINKS,43.392423,-28.769978
KiDSDR4 J025717.233-271712.02,B,LINKS,44.321807,-27.286673
KiDSDR4 J030540.105-293416.08,B,LINKS,46.417108,-29.571136
KiDSDR4 J031609.185-340302.43,B,LINKS,49.038271,-34.050677
KiDSDR4 J032219.773-342456.27,B,LINKS,50.582391,-34.415633
KiDSDR4 J032230.223-344711.77,B,LINKS,50.625931,-34.786604
KiDSDR4 J083726.163+015639.25,B,"LINKS,AL",129.359015,1.944238
KiDSDR4 J083933.372-014044.81,B,LINKS,129.889052,-1.679115
KiDSDR4 J084520.156-005456.26,B,LINKS,131.333984,-0.915629
KiDSDR4 J084722.029-013441.48,B,TEGLIE_2,131.841791,-1.57819
KiDSDR4 J085156.962+013016.65,B,TEGLIE_1,132.987345,1.504625
KiDSDR4 J085446.547-012137.03,B,"LINKS,TEGLIE_1",133.693949,-1.360288
KiDSDR4 J090507.336-001029.85,B,"LINKS,TEGLIE_1",136.28057,-0.17496
KiDSDR4 J092136.654+021409.44,B,TEGLIE_1,140.402726,2.235958
KiDSDR4 J100108.387+024029.67,B,LINKS,150.284948,2.67491
KiDSDR4 J103907.380-021630.07,B,LINKS,159.780754,-2.275022
KiDSDR4 J104119.501-000416.30,B,LINKS,160.331257,-0.071195
KiDSDR4 J111555.997-025204.81,B,LINKS,168.983322,-2.868003
KiDSDR4 J112152.078+023711.11,B,LINKS,170.466993,2.619754
KiDSDR4 J112900.041-014214.01,B,LINKS,172.250173,-1.703894
KiDSDR4 J113741.606-020559.02,B,TEGLIE_1,174.423362,-2.099728
