ID,Grade,origin_upd,recovered
KiDSDR4 J010606.232-310437.84,A,LINKS,False
KiDSDR4 J010704.918-312841.03,A,LINKS,False
KiDSDR4 J013425.700-295652.42,A,"LINKS,AL",True
KiDSDR4 J021504.013-284248.57,A,LINKS,False
KiDSDR4 J030639.688-273626.93,A,"LINKS,AL",True
KiDSDR4 J091113.492-000714.23,A,LINKS,False
KiDSDR4 J111253.976+001044.65,A,LINKS,False
KiDSDR4 J115252.263+004733.11,A,"LINKS,TEGLIE_1",False
KiDSDR4 J134032.074-003737.83,A,LINKS,False
KiDSDR4 J140929.697-011410.82,A,TEGLIE_1,False
KiDSDR4 J224546.032-295559.03,A,"TEGLIE_2,AL",True
KiDSDR4 J230226.294-335637.56,A,TEGLIE_1,False
KiDSDR4 J231645.663-292343.20,A,"LINKS,AL",True
KiDSDR4 J233533.673-322722.06,A,LINKS,False
KiDSDR4 J235728.351-352013.03,A,LINKS,False
KiDSDR4 J000012.031-310943.35,B,LINKS,False
KiDSDR4 J000014.372-281135.77,B,TEGLIE_1,False
KiDSDR4 J000517.478-352342.48,B,LINKS,False
KiDSDR4 J000820.374-342718.99,B,LINKS,False
KiDSDR4 J001810.363-285609.54,B,"LINKS,AL",True
KiDSDR4 J002105.099-283818.44,B,LINKS,True
KiDSDR4 J003151.142-312638.83,B,LINKS,False
KiDSDR4 J004439.128-291957.30,B,LINKS,False
KiDSDR4 J004558.739-331451.79,B,LINKS,False
KiDSDR4 J010257.486-291121.76,B,LINKS,False
KiDSDR4 J010642.065-342401.02,B,"LINKS,AL",True
KiDSDR4 J011045.486-290822.53,B,LINKS,False
KiDSDR4 J011731.429-314432.70,B,LINKS,False
KiDSDR4 J012647.465-284815.00,B,LINKS,False
KiDSDR4 J013403.712-303226.82,B,LINKS,False
KiDSDR4 J014518.788-290539.92,B,LINKS,False
KiDSDR4 J015928.393-330950.36,B,LINKS,False
KiDSDR4 J020505.970-331746.64,B,LINKS,True
KiDSDR4 J021555.605-342425.72,B,LINKS,False
KiDSDR4 J022956.259-311022.65,B,LINKS,False
KiDSDR4 J023714.701-280719.03,B,LINKS,False
KiDSDR4 J024228.926-294305.41,B,LINKS,False
KiDSDR4 J025334.181-284611.92,B,LINKS,True
KiDSDR4 J025717.233-271712.02,B,LINKS,False
KiDSDR4 J030540.105-293416.08,B,LINKS,False
KiDSDR4 J031609.185-340302.43,B,LINKS,False
KiDSDR4 J032219.773-342456.27,B,LINKS,True
KiDSDR4 J032230.223-344711.77,B,LINKS,True
KiDSDR4 J083726.163+015639.25,B,"LINKS,AL",True
KiDSDR4 J083933.372-014044.81,B,LINKS,True
KiDSDR4 J084520.156-005456.26,B,LINKS,False
KiDSDR4 J084722.029-013441.48,B,TEGLIE_2,False
KiDSDR4 J085156.962+013016.65,B,TEGLIE_1,False
KiDSDR4 J085446.547-012137.03,B,"LINKS,TEGLIE_1",False
KiDSDR4 J090507.336-001029.85,B,"LINKS,TEGLIE_1",False
KiDSDR4 J092136.654+021409.44,B,TEGLIE_1,False
KiDSDR4 J100108.387+024029.67,B,LINKS,False
KiDSDR4 J103907.380-021630.07,B,LINKS,False
KiDSDR4 J104119.501-000416.30,B,LINKS,False
KiDSDR4 J111555.997-025204.81,B,LINKS,True
KiDSDR4 J112152.078+023711.11,B,LINKS,False
KiDSDR4 J112900.041-014214.01,B,LINKS,False
KiDSDR4 J113741.606-020559.02,B,TEGLIE_1,False
KiDSDR4 J114329.639-014429.98,B,"LINKS,TEGLIE_1",False
KiDSDR4 J114444.815+001346.70,B,"LINKS,TEGLIE_1",True
KiDSDR4 J114654.718-021707.62,B,TEGLIE_1,False
KiDSDR4 J114815.363-010907.79,B,TEGLIE_1,False
KiDSDR4 J115008.624-010948.48,B,TEGLIE_1,False
KiDSDR4 J115015.646-015752.32,B,TEGLIE_1,True
KiDSDR4 J115637.743-000903.21,B,TEGLIE_1,False
KiDSDR4 J115729.592+012844.07,B,TEGLIE_1,False
KiDSDR4 J115855.204-023108.19,B,"LINKS,TEGLIE_2",False
KiDSDR4 J120139.878-001226.26,B,"LINKS,TEGLIE_1",False
KiDSDR4 J120743.259-010355.44,B,TEGLIE_1,False
KiDSDR4 J120917.360-003415.91,B,TEGLIE_1,False
KiDSDR4 J121152.582+011119.99,B,TEGLIE_1,False
KiDSDR4 J121424.037-003206.32,B,TEGLIE_1,False
KiDSDR4 J121424.132-003205.53,B,LINKS,False
KiDSDR4 J122335.140-021030.63,B,LINKS,False
