 num   chi2/pix  ID
   1       1.50  KiDSDR4_J010127.840-334319.40
   2       2.57  KiDSDR4_J084434.974+011105.24
   3       2.46  KiDSDR4_J084449.044+010002.26
   4      83.59  KiDSDR4_J085156.962+013016.65
   5       6.91  KiDSDR4_J085207.691-010741.04
   6       4.38  KiDSDR4_J085207.715-010743.19
   7       1.20  KiDSDR4_J085234.895+014809.80
   8       1.08  KiDSDR4_J085309.425-003042.87
   9       2.62  KiDSDR4_J085649.853+000011.84
  10       1.11  KiDSDR4_J085936.300-012712.22
  11       1.07  KiDSDR4_J090052.233-010231.53
  12       5.99  KiDSDR4_J090150.268-012118.51
  13       1.53  KiDSDR4_J090159.712-013158.69
  14       2.67  KiDSDR4_J090249.438+004900.15
  15       1.29  KiDSDR4_J090333.270-005829.59
  16       1.79  KiDSDR4_J090637.024+012029.82
  17       2.88  KiDSDR4_J091051.123-015136.19
  18    3782.12  KiDSDR4_J091113.492-000714.23
  19       0.88  KiDSDR4_J091113.492-000714.23
  20       1.62  KiDSDR4_J091155.578-004355.74
  21       1.99  KiDSDR4_J091225.653-015635.25
  22       1.17  KiDSDR4_J091341.642+001629.34
  23       2.60  KiDSDR4_J091810.288-013539.38
  24       1.64  KiDSDR4_J091850.005-015525.21
  25       9.26  KiDSDR4_J091906.613-012949.31
  26      45.17  KiDSDR4_J091940.081-011630.76
  27       2.79  KiDSDR4_J091952.612-013903.10
  28       3.82  KiDSDR4_J092134.931-010343.72
  29       1.92  KiDSDR4_J100014.899+023933.92
  30       3.23  KiDSDR4_J100108.387+024029.67
  31       1.55  KiDSDR4_J102729.477-013550.93
  32       1.27  KiDSDR4_J103647.376+013247.73
  33       1.36  KiDSDR4_J105924.964+003048.63
  34       2.01  KiDSDR4_J110022.798+004535.92
  35       1.48  KiDSDR4_J110813.309+004649.44
  36       2.15  KiDSDR4_J111555.997-025204.81
  37       1.02  KiDSDR4_J111709.572+023416.60
  38       2.27  KiDSDR4_J111826.578-022833.24
  39       1.17  KiDSDR4_J113816.084+004057.61
  40       1.12  KiDSDR4_J113832.722+001949.78
  41       2.92  KiDSDR4_J113914.205-021926.72
  42       1.54  KiDSDR4_J114113.002+001610.81
  43       1.38  KiDSDR4_J114121.928+003837.48
  44     129.76  KiDSDR4_J114811.298+000829.32
  45       1.24  KiDSDR4_J115522.762-002930.42
  46       1.52  KiDSDR4_J115637.743-000903.21
  47      12.87  KiDSDR4_J115708.669-003646.33
  48       0.94  KiDSDR4_J115757.301-005726.36
  49       2.03  KiDSDR4_J115759.863-003839.14
  50       1.99  KiDSDR4_J120703.953-014948.13
  51       5.70  KiDSDR4_J120743.259-010355.44
  52       5.69  KiDSDR4_J120906.821-014759.84
  53      25.55  KiDSDR4_J120940.293-015050.60
  54       1.74  KiDSDR4_J121001.474+010453.62
  55       2.16  KiDSDR4_J121014.471-002943.18
  56       1.60  KiDSDR4_J121017.719-023013.12
  57       3.44  KiDSDR4_J121023.994-013350.94
  58       1.70  KiDSDR4_J121024.150-013636.78
  59       1.15  KiDSDR4_J121105.273-004905.30
  60       1.81  KiDSDR4_J121106.742-012004.01
  61       1.73  KiDSDR4_J121118.917-003249.04
  62       2.00  KiDSDR4_J121144.467+010425.48
  63       3.27  KiDSDR4_J121150.515+012011.77
  64       2.46  KiDSDR4_J121152.582+011119.99
  65       2.53  KiDSDR4_J121215.544+015448.72
  66       1.60  KiDSDR4_J121217.625+015308.19
  67       1.35  KiDSDR4_J121229.511-014225.45
  68       0.92  KiDSDR4_J121236.700-005300.54
  69       2.18  KiDSDR4_J121249.260-003836.62
  70       3.43  KiDSDR4_J121303.080-012049.11
  71       2.78  KiDSDR4_J121312.570+011853.41
  72       1.31  KiDSDR4_J121314.238-001434.63
  73       1.68  KiDSDR4_J121317.558+015311.22
  74       1.76  KiDSDR4_J121319.575+014736.02
  75      11.97  KiDSDR4_J121327.635-012023.85
  76      11.15  KiDSDR4_J121339.117+014055.80
  77       1.41  KiDSDR4_J122246.482+004805.54
  78       4.17  KiDSDR4_J122333.577+002107.63
  79       1.97  KiDSDR4_J122615.020+021356.89
  80       1.48  KiDSDR4_J122705.834+003503.41
  81    2151.40  KiDSDR4_J122800.681+002207.26
  82       5.45  KiDSDR4_J122800.681+002207.26
  83       1.08  KiDSDR4_J124423.757-004427.18
  84       3.75  KiDSDR4_J130115.900+025240.95
  85       2.68  KiDSDR4_J131246.618-000615.69
  86       1.49  KiDSDR4_J131346.200-004725.88
  87       1.53  KiDSDR4_J132303.904-000655.50
  88       1.44  KiDSDR4_J132443.155-003532.54
  89       1.24  KiDSDR4_J133129.464+000514.82
  90       3.66  KiDSDR4_J133151.760+003150.33
  91       2.05  KiDSDR4_J133317.497+005907.56
  92       1.66  KiDSDR4_J133426.299-005402.67
  93       7.32  KiDSDR4_J133554.535-005014.06
  94       1.35  KiDSDR4_J133559.392-000003.65
  95       3.52  KiDSDR4_J133701.430-004057.97
  96       1.56  KiDSDR4_J133703.192-001410.49
  97       3.01  KiDSDR4_J133708.148-000633.50
  98       1.04  KiDSDR4_J133710.506-010900.55
  99       4.04  KiDSDR4_J133719.017-005103.79
 100       1.16  KiDSDR4_J134832.478+003516.31
 101       0.60  KiDSDR4_J141728.099+015935.16
 102      86.41  KiDSDR4_J141741.465+021705.13
 103       5.71  KiDSDR4_J141829.676+023103.55
 104       2.07  KiDSDR4_J141913.862+025635.41
 105       3.94  KiDSDR4_J143609.029-011945.87
 106       1.56  KiDSDR4_J144504.000-015010.22
 107       1.35  KiDSDR4_J144930.567+000324.77
